latitude,longitude,date,died,injured,weather,day_part,accident_type
41.293,69.2041,2020-02-14 18:00:00,0,1,,kunduz,piyodani urib yuborish
41.3056,69.1521,2020-02-14 21:00:00,0,1,,kech,turgan TVga urilish
41.2806,69.3069,2020-02-15 15:00:00,0,1,,kunduz,piyodani urib yuborish
41.245,69.3114,2020-02-15 19:00:00,0,1,,kech,piyodani urib yuborish
41.2402,69.1964,2020-02-16 07:30:00,3,3,,tong,piyodani urib yuborish
41.3312,69.3314,2020-02-17 20:57:00,0,1,,kech,piyodani urib yuborish
41.2384,69.3493,2020-02-17 07:10:00,0,1,,tong,to'siqqa urilish
41.2542,69.2,2020-02-17 08:10:00,1,0,,tong,to'qnashuv
41.2928,69.2797,2020-02-18 13:00:00,0,1,,kunduz,to'qnashuv
41.2738,69.2263,2020-02-18 22:25:00,0,1,,kech,piyodani urib yuborish
41.3146,69.1541,2020-02-19 20:10:00,0,1,,kech,piyodani urib yuborish
41.314,69.2864,2020-02-19 22:00:00,0,1,,kech,piyodani urib yuborish
41.3117,69.2079,2020-02-20 12:55:00,0,1,,tong,piyodani urib yuborish
41.3303,69.2224,2020-02-20 20:30:00,0,2,,kech,piyodani urib yuborish
41.3117,69.2079,2020-02-20 19:30:00,0,1,,kech,piyodani urib yuborish
41.2723,69.2035,2020-02-21 23:35:00,0,1,,kech,piyodani urib yuborish
41.2959,69.1485,2020-02-22 21:05:00,0,1,,kech,piyodani urib yuborish
41.2815,69.2398,2020-02-22 14:55:00,0,1,,kunduz,piyodani urib yuborish
41.3144,69.2355,2020-02-23 13:00:00,0,1,,kunduz,piyodani urib yuborish
41.3879,69.3575,2020-02-24 02:20:00,1,0,,tun,to'qnashuv
41.3161,69.2261,2020-02-24 09:00:00,0,1,,tong,piyodani urib yuborish
41.2966,69.2945,2020-02-25 07:30:00,0,1,,tong,to'qnashuv
41.2112,69.2215,2020-02-25 23:40:00,0,2,,kech,piyodani urib yuborish
41.2661,69.2321,2020-02-25 13:30:00,0,2,,kunduz,piyodani urib yuborish
41.2661,69.2321,2020-02-25 15:15:00,1,0,,kunduz,piyodani urib yuborish
41.307,69.2708,2020-02-26 22:25:00,1,1,,kech,to'siqqa urilish
41.3345,69.3085,2020-02-26 23:20:00,0,1,,kech,to'siqqa urilish
41.313,69.1822,2020-02-26 14:00:00,0,1,,kunduz,piyodani urib yuborish
41.3052,69.3088,2020-02-27 20:00:00,0,1,,kech,piyodani urib yuborish
41.3346,69.2642,2020-02-27 09:00:00,0,1,,tong,piyodani urib yuborish
41.3065,69.1624,2020-02-27 20:00:00,0,1,,kech,piyodani urib yuborish
41.3356,69.1762,2020-02-28 22:40:00,0,1,,kech,piyodani urib yuborish
41.3397,69.3353,2020-02-28 22:00:00,0,1,,kech,piyodani urib yuborish
41.3559,69.3772,2020-02-28 00:45:00,0,1,,,piyodani urib yuborish
41.2845,69.1893,2020-03-02 17:30:00,0,1,,kunduz,piyodani urib yuborish
41.2544,69.2038,2020-03-03 10:00:00,0,1,,tong,piyodani urib yuborish
41.2245,69.2209,2020-03-04 14:00:00,0,1,,kunduz,piyodani urib yuborish
41.2445,69.2591,2020-03-04 03:45:00,0,1,,tun,to'qnashuv
41.276,69.2579,2020-03-04 17:00:00,0,1,,kunduz,piyodani urib yuborish
41.2987,69.1748,2020-03-05 17:50:00,0,1,,kunduz,to'qnashuv
41.2966,69.2944,2020-03-06 02:45:00,0,2,,tun,piyodani urib yuborish
41.3775,69.302,2020-03-06 09:20:00,0,1,,tong,piyodani urib yuborish
41.344,69.3451,2020-03-06 22:42:00,0,1,,kech,to'siqqa urilish
41.2442,69.2862,2020-03-06 22:20:00,0,2,,kech,turgan TVga urilish
41.276,69.2579,2020-03-07 09:30:00,0,1,,tong,piyodani urib yuborish
41.3836,69.2903,2020-03-07 03:30:00,0,2,,tun,to'siqqa urilish
41.2496,69.3821,2020-03-07 01:00:00,0,1,,tun,turgan TVga urilish
41.2827,69.192,2020-03-07 20:00:00,1,0,,kech,piyodani urib yuborish
41.2685,69.2351,2020-03-08 11:20:00,0,1,,tong,piyodani urib yuborish
41.3512,69.2877,2020-03-08 08:40:00,0,1,,tong,piyodani urib yuborish
41.3647,69.2279,2020-03-08 17:10:00,1,0,,kunduz,piyodani urib yuborish
41.235,69.1877,2020-03-09 00:10:00,0,1,,,piyodani urib yuborish
41.2623,69.317,2020-03-09 01:15:00,0,1,,tun,to'qnashuv
41.2444,69.3045,2020-03-10 01:30:00,0,2,,tun,to'qnashuv
41.2738,69.2254,2020-03-10 20:55:00,0,1,,kech,piyodani urib yuborish
41.3067,69.2841,2020-03-10 00:20:00,1,0,,,piyodani urib yuborish
41.2775,69.1469,2020-03-11 16:45:00,0,1,,kunduz,to'qnashuv
41.3563,69.2466,2020-03-11 19:25:00,1,0,,kech,piyodani urib yuborish
41.2334,69.3345,2020-03-11 07:25:00,0,1,,tong,to'qnashuv
41.2853,69.1982,2020-03-11 12:00:00,0,1,,tong,piyodani urib yuborish
41.2444,69.2489,2020-03-12 06:30:00,2,0,,tun,to'siqqa urilish
41.2888,69.1826,2020-03-12 12:30:00,0,1,,tong,to'qnashuv
41.3323,69.2399,2020-03-13 21:00:00,0,1,,kech,piyodani urib yuborish
41.3016,69.2108,2020-03-13 12:00:00,0,1,,tong,to'qnashuv
41.3214,69.1932,2020-03-14 20:20:00,0,1,,kech,piyodani urib yuborish
41.3294,69.2297,2020-03-14 06:40:00,1,0,,tun,piyodani urib yuborish
41.2738,69.2446,2020-03-15 10:45:00,0,1,,tong,piyodani urib yuborish
41.3379,69.1644,2020-03-15 13:25:00,0,2,,kunduz,to'qnashuv
41.3048,69.2355,2020-03-16 15:30:00,0,1,,kunduz,piyodani urib yuborish
41.3256,69.1933,2020-03-16 20:00:00,0,1,,kech,piyodani urib yuborish
41.2441,69.2302,2020-03-17 17:40:00,0,1,,kunduz,piyodani urib yuborish
41.2972,69.1803,2020-03-18 22:45:00,0,2,,kech,to'qnashuv
